,Name,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special,ID
0,ST,https://cdn.sofifa.net/players/236/988/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,72,79,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€4.8M,€45K,1698,236988
0,ST,https://cdn.sofifa.net/players/236/988/22_60.png,,https://cdn.sofifa.net/flags/gb-eng.png,72,79,Arsenal,https://cdn.sofifa.net/teams/1/30.png,€4.8M,€45K,1698,236988
1,CM,https://cdn.sofifa.net/players/255/253/22_60.png,,https://cdn.sofifa.net/flags/pt.png,78,88,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€31.5M,€12K,1999,255253
1,CM,https://cdn.sofifa.net/players/255/253/22_60.png,,https://cdn.sofifa.net/flags/pt.png,78,88,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€31.5M,€12K,1999,255253
2,CB,https://cdn.sofifa.net/players/239/301/22_60.png,,https://cdn.sofifa.net/flags/ar.png,80,85,Ajax,https://cdn.sofifa.net/teams/245/30.png,€29M,€17K,2109,239301
2,CB,https://cdn.sofifa.net/players/239/301/22_60.png,,https://cdn.sofifa.net/flags/ar.png,80,85,Ajax,https://cdn.sofifa.net/teams/245/30.png,€29M,€17K,2109,239301
3,CAM,https://cdn.sofifa.net/players/256/958/22_60.png,,https://cdn.sofifa.net/flags/pt.png,76,86,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€17M,€10K,1838,256958
3,CAM,https://cdn.sofifa.net/players/256/958/22_60.png,,https://cdn.sofifa.net/flags/pt.png,76,86,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€17M,€10K,1838,256958
4,CB,https://cdn.sofifa.net/players/236/403/22_60.png,,https://cdn.sofifa.net/flags/fr.png,80,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€29.5M,€23K,1935,236403
4,CB,https://cdn.sofifa.net/players/236/403/22_60.png,,https://cdn.sofifa.net/flags/fr.png,80,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€29.5M,€23K,1935,236403
5,ST,https://cdn.sofifa.net/players/253/072/22_60.png,,https://cdn.sofifa.net/flags/uy.png,79,87,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€39.5M,€16K,2020,253072
5,ST,https://cdn.sofifa.net/players/253/072/22_60.png,,https://cdn.sofifa.net/flags/uy.png,79,87,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€39.5M,€16K,2020,253072
6,ST,https://cdn.sofifa.net/players/225/713/22_60.png,,https://cdn.sofifa.net/flags/fr.png,65,68,FC Nantes,https://cdn.sofifa.net/teams/71/30.png,€1M,€6K,1593,225713
6,ST,https://cdn.sofifa.net/players/225/713/22_60.png,,https://cdn.sofifa.net/flags/fr.png,65,68,FC Nantes,https://cdn.sofifa.net/teams/71/30.png,€1M,€6K,1593,225713
7,CB,https://cdn.sofifa.net/players/239/580/22_60.png,,https://cdn.sofifa.net/flags/br.png,80,85,Torino F.C.,https://cdn.sofifa.net/teams/54/30.png,€29M,€41K,1824,239580
7,CB,https://cdn.sofifa.net/players/239/580/22_60.png,,https://cdn.sofifa.net/flags/br.png,80,85,Torino F.C.,https://cdn.sofifa.net/teams/54/30.png,€29M,€41K,1824,239580
8,CDM,https://cdn.sofifa.net/players/256/942/22_60.png,,https://cdn.sofifa.net/flags/de.png,67,84,FK Austria Wien,https://cdn.sofifa.net/teams/256/30.png,€2.5M,€9K,1699,256942
8,CDM,https://cdn.sofifa.net/players/256/942/22_60.png,,https://cdn.sofifa.net/flags/de.png,67,84,FK Austria Wien,https://cdn.sofifa.net/teams/256/30.png,€2.5M,€9K,1699,256942
9,RW,https://cdn.sofifa.net/players/240/950/22_60.png,,https://cdn.sofifa.net/flags/pt.png,81,88,Sporting CP,https://cdn.sofifa.net/teams/237/30.png,€51.5M,€19K,2089,240950
