ID,Name,Photo,Nationality,Flag,Overall,Potential,Club,Club Logo,Value,Wage,Special
215223,W. Benítez,https://cdn.sofifa.net/players/215/223/22_60.png,,Argentina,80,82,OGC Nice,https://cdn.sofifa.net/teams/72/30.png,€18M,€32K,1281
230767,Renato Sanches,https://cdn.sofifa.net/players/230/767/22_60.png,,Portugal,80,86,LOSC Lille,https://cdn.sofifa.net/teams/65/30.png,€33M,€38K,2218
225713,J. Augustin,https://cdn.sofifa.net/players/225/713/22_60.png,,France,65,68,FC Nantes,https://cdn.sofifa.net/teams/71/30.png,€1M,€6K,1593
255253,Vitinha,https://cdn.sofifa.net/players/255/253/22_60.png,,Portugal,78,88,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€31.5M,€12K,1999
256197,P. Hincapié,https://cdn.sofifa.net/players/256/197/22_60.png,,Ecuador,76,84,Bayer 04 Leverkusen,https://cdn.sofifa.net/teams/32/30.png,€15M,€21K,1817
253072,D. Núñez,https://cdn.sofifa.net/players/253/072/22_60.png,,Uruguay,79,87,SL Benfica,https://cdn.sofifa.net/teams/234/30.png,€39.5M,€16K,2020
186405,F. Di Santo,https://cdn.sofifa.net/players/186/405/22_60.png,,Argentina,72,72,Göztepe SK,https://cdn.sofifa.net/teams/101026/30.png,€1.9M,€12K,1838
256958,Fábio Vieira,https://cdn.sofifa.net/players/256/958/22_60.png,,Portugal,76,86,FC Porto,https://cdn.sofifa.net/teams/236/30.png,€17M,€10K,1838
236403,E. Ndicka,https://cdn.sofifa.net/players/236/403/22_60.png,,France,80,85,Eintracht Frankfurt,https://cdn.sofifa.net/teams/1824/30.png,€29.5M,€23K,1935
239301,L. Martínez,https://cdn.sofifa.net/players/239/301/22_60.png,,Argentina,80,85,Ajax,https://cdn.sofifa.net/teams/245/30.png,€29M,€17K,2109
